BoL,BoC,EoC,EoL
8.63E+15,8.69E+15,8.66E+15,8.72E+15
9.40E+15,9.50E+15,9.43E+15,9.34E+15
7.39E+15,7.37E+15,7.36E+15,7.36E+15
4.49E+15,4.41E+15,4.42E+15,4.45E+15
1.74E+15,1.71E+15,1.71E+15,1.69E+15
2.17E+14,2.23E+14,2.27E+14,2.34E+14
2.92E+15,2.97E+15,3.00E+15,3.02E+15
3.82E+15,3.89E+15,3.93E+15,4.02E+15
2.81E+16,2.80E+16,2.79E+16,2.80E+16
2.37E+16,2.37E+16,2.35E+16,2.35E+16
2.51E+16,2.50E+16,2.46E+16,2.44E+16
1.09E+16,1.06E+16,1.05E+16,1.03E+16
4.10E+15,4.04E+15,3.99E+15,3.92E+15
1.10E+16,1.03E+16,9.82E+15,9.25E+15
3.43E+15,3.16E+15,2.97E+15,2.78E+15
7.38E+15,7.37E+15,7.35E+15,7.31E+15
2.52E+15,2.54E+15,2.52E+15,2.55E+15
2.27E+15,2.26E+15,2.26E+15,2.29E+15
5.34E+14,5.35E+14,5.37E+14,5.49E+14
5.07E+13,5.08E+13,5.06E+13,5.25E+13
1.43E+14,1.44E+14,1.46E+14,1.48E+14
1.04E+15,1.03E+15,1.03E+15,1.04E+15
1.28E+15,1.26E+15,1.26E+15,1.26E+15
3.43E+15,3.40E+15,3.36E+15,3.34E+15
2.93E+15,2.88E+15,2.84E+15,2.82E+15
7.91E+15,7.74E+15,7.66E+15,7.60E+15
4.21E+15,3.99E+15,3.88E+15,3.75E+15
9.98E+15,9.30E+15,8.92E+15,8.55E+15
3.88E+15,3.70E+15,3.57E+15,3.39E+15
1.79E+16,1.79E+16,1.78E+16,1.79E+16
1.06E+16,1.09E+16,1.10E+16,1.13E+16
1.16E+16,1.18E+16,1.20E+16,1.23E+16
1.97E+16,2.01E+16,2.02E+16,2.06E+16
1.18E+16,1.21E+16,1.23E+16,1.27E+16
9.43E+15,9.67E+15,9.69E+15,9.86E+15
9.42E+15,9.56E+15,9.60E+15,9.80E+15
3.91E+15,3.96E+15,3.96E+15,4.04E+15
2.30E+16,2.32E+16,2.31E+16,2.33E+16
1.18E+16,1.21E+16,1.22E+16,1.25E+16
2.08E+16,2.11E+16,2.11E+16,2.14E+16
4.77E+15,4.93E+15,5.01E+15,5.16E+15
3.49E+16,3.56E+16,3.58E+16,3.63E+16
3.28E+16,3.29E+16,3.28E+16,3.29E+16
2.46E+16,2.48E+16,2.48E+16,2.50E+16
8.45E+15,8.61E+15,8.69E+15,8.78E+15
1.13E+16,1.16E+16,1.18E+16,1.20E+16
2.97E+16,2.94E+16,2.93E+16,2.91E+16
1.69E+16,1.71E+16,1.71E+16,1.72E+16
1.62E+15,1.68E+15,1.71E+15,1.79E+15
4.96E+15,5.15E+15,5.21E+15,5.35E+15
1.41E+16,1.44E+16,1.46E+16,1.49E+16
1.15E+17,1.17E+17,1.17E+17,1.19E+17
1.45E+17,1.47E+17,1.48E+17,1.49E+17
5.98E+16,6.13E+16,6.19E+16,6.34E+16
5.05E+16,5.07E+16,5.05E+16,5.04E+16
5.48E+15,5.47E+15,5.44E+15,5.43E+15
3.09E+15,3.24E+15,3.32E+15,3.44E+15
6.09E+15,6.30E+15,6.40E+15,6.60E+15
4.42E+16,4.58E+16,4.64E+16,4.76E+16
3.12E+16,3.24E+16,3.30E+16,3.38E+16
2.91E+15,3.06E+15,3.16E+15,3.28E+15
6.04E+16,6.19E+16,6.29E+16,6.41E+16
1.06E+17,1.09E+17,1.11E+17,1.13E+17
2.62E+17,2.71E+17,2.75E+17,2.82E+17
1.22E+17,1.25E+17,1.26E+17,1.27E+17
1.58E+18,1.63E+18,1.66E+18,1.70E+18
1.04E+18,1.08E+18,1.10E+18,1.13E+18
1.21E+17,1.25E+17,1.27E+17,1.30E+17
2.53E+18,2.63E+18,2.69E+18,2.78E+18
1.83E+18,1.91E+18,1.96E+18,2.03E+18
3.92E+18,4.03E+18,4.09E+18,4.18E+18
5.67E+17,5.84E+17,5.93E+17,6.07E+17
2.78E+18,2.88E+18,2.94E+18,3.02E+18
4.34E+18,4.50E+18,4.60E+18,4.73E+18
4.89E+17,5.06E+17,5.16E+17,5.30E+17
2.02E+18,2.10E+18,2.14E+18,2.21E+18
4.69E+18,4.85E+18,4.95E+18,5.09E+18
7.16E+18,7.41E+18,7.56E+18,7.78E+18
1.42E+18,1.46E+18,1.49E+18,1.52E+18
1.42E+19,1.46E+19,1.49E+19,1.53E+19
1.50E+19,1.54E+19,1.57E+19,1.61E+19
8.20E+18,8.46E+18,8.61E+18,8.83E+18
2.10E+19,2.16E+19,2.19E+19,2.25E+19
1.82E+19,1.87E+19,1.90E+19,1.94E+19
1.43E+19,1.47E+19,1.50E+19,1.53E+19
4.07E+19,4.17E+19,4.23E+19,4.32E+19
4.70E+19,4.81E+19,4.87E+19,4.97E+19
1.52E+19,1.55E+19,1.57E+19,1.60E+19
4.59E+18,4.69E+18,4.75E+18,4.84E+18
2.10E+19,2.15E+19,2.17E+19,2.21E+19
3.09E+19,3.15E+19,3.18E+19,3.24E+19
3.33E+18,3.40E+18,3.44E+18,3.51E+18
1.47E+19,1.50E+19,1.51E+19,1.54E+19
4.39E+18,4.48E+18,4.53E+18,4.61E+18
2.56E+19,2.60E+19,2.63E+19,2.67E+19
4.53E+19,4.61E+19,4.65E+19,4.72E+19
2.78E+19,2.82E+19,2.84E+19,2.88E+19
5.66E+19,5.74E+19,5.78E+19,5.85E+19
6.13E+19,6.20E+19,6.23E+19,6.30E+19
3.94E+19,3.97E+19,3.99E+19,4.02E+19
3.01E+19,3.03E+19,3.04E+19,3.06E+19
5.79E+18,5.81E+18,5.83E+18,5.86E+18
4.94E+18,4.97E+18,4.98E+18,5.01E+18
9.94E+18,9.99E+18,1.00E+19,1.01E+19
8.43E+18,8.47E+18,8.49E+18,8.54E+18
2.39E+19,2.40E+19,2.40E+19,2.42E+19
8.52E+18,8.55E+18,8.56E+18,8.60E+18
9.87E+18,9.91E+18,9.91E+18,9.96E+18
2.21E+19,2.22E+19,2.22E+19,2.23E+19
