BoL,BoC,EoC,EoL
1.95E+15,1.99E+15,2.00E+15,2.00E+15
2.19E+15,2.26E+15,2.22E+15,2.22E+15
1.67E+15,1.68E+15,1.72E+15,1.72E+15
1.04E+15,1.02E+15,1.06E+15,1.05E+15
4.18E+14,4.25E+14,4.24E+14,4.31E+14
5.13E+13,5.37E+13,5.59E+13,5.85E+13
7.07E+14,7.30E+14,7.49E+14,7.69E+14
9.97E+14,1.03E+15,1.04E+15,1.07E+15
6.94E+15,7.09E+15,7.11E+15,7.18E+15
6.01E+15,6.09E+15,6.07E+15,6.13E+15
6.33E+15,6.39E+15,6.34E+15,6.31E+15
2.78E+15,2.76E+15,2.72E+15,2.71E+15
1.04E+15,1.05E+15,1.05E+15,1.05E+15
2.89E+15,2.68E+15,2.57E+15,2.42E+15
8.88E+14,8.16E+14,7.73E+14,7.23E+14
1.98E+15,2.01E+15,1.99E+15,2.01E+15
6.84E+14,7.12E+14,7.09E+14,7.22E+14
6.28E+14,6.33E+14,6.41E+14,6.56E+14
1.46E+14,1.48E+14,1.50E+14,1.56E+14
1.40E+13,1.44E+13,1.46E+13,1.50E+13
3.99E+13,4.12E+13,4.19E+13,4.22E+13
2.94E+14,2.95E+14,2.99E+14,3.03E+14
3.74E+14,3.73E+14,3.77E+14,3.75E+14
1.04E+15,1.03E+15,1.02E+15,1.03E+15
8.55E+14,8.40E+14,8.46E+14,8.18E+14
2.31E+15,2.31E+15,2.29E+15,2.26E+15
1.33E+15,1.27E+15,1.22E+15,1.18E+15
3.00E+15,2.81E+15,2.71E+15,2.59E+15
1.25E+15,1.17E+15,1.13E+15,1.07E+15
5.78E+15,5.75E+15,5.83E+15,5.85E+15
3.53E+15,3.63E+15,3.72E+15,3.86E+15
3.92E+15,4.04E+15,4.15E+15,4.22E+15
6.78E+15,6.96E+15,7.07E+15,7.20E+15
4.18E+15,4.30E+15,4.40E+15,4.55E+15
3.26E+15,3.39E+15,3.43E+15,3.51E+15
3.29E+15,3.40E+15,3.43E+15,3.52E+15
1.41E+15,1.45E+15,1.47E+15,1.50E+15
8.32E+15,8.44E+15,8.48E+15,8.55E+15
4.61E+15,4.74E+15,4.80E+15,4.89E+15
7.73E+15,7.90E+15,8.00E+15,8.14E+15
1.82E+15,1.91E+15,1.95E+15,2.00E+15
1.41E+16,1.43E+16,1.44E+16,1.46E+16
1.35E+16,1.35E+16,1.36E+16,1.35E+16
1.02E+16,1.03E+16,1.04E+16,1.04E+16
3.57E+15,3.65E+15,3.72E+15,3.80E+15
5.00E+15,5.15E+15,5.24E+15,5.36E+15
1.27E+16,1.26E+16,1.26E+16,1.25E+16
7.45E+15,7.50E+15,7.57E+15,7.62E+15
7.09E+14,7.39E+14,7.62E+14,7.99E+14
2.28E+15,2.35E+15,2.40E+15,2.49E+15
6.51E+15,6.70E+15,6.80E+15,6.91E+15
5.38E+16,5.49E+16,5.53E+16,5.59E+16
7.24E+16,7.36E+16,7.40E+16,7.46E+16
3.09E+16,3.19E+16,3.23E+16,3.31E+16
2.70E+16,2.70E+16,2.69E+16,2.68E+16
2.89E+15,2.88E+15,2.90E+15,2.87E+15
1.60E+15,1.70E+15,1.76E+15,1.83E+15
3.24E+15,3.39E+15,3.45E+15,3.56E+15
2.42E+16,2.51E+16,2.56E+16,2.61E+16
1.74E+16,1.82E+16,1.86E+16,1.91E+16
1.55E+15,1.66E+15,1.72E+15,1.80E+15
3.38E+16,3.48E+16,3.52E+16,3.60E+16
6.11E+16,6.28E+16,6.37E+16,6.48E+16
1.57E+17,1.62E+17,1.66E+17,1.70E+17
7.55E+16,7.73E+16,7.81E+16,7.89E+16
1.07E+18,1.11E+18,1.14E+18,1.17E+18
7.41E+17,7.75E+17,7.97E+17,8.25E+17
8.73E+16,9.10E+16,9.35E+16,9.66E+16
1.86E+18,1.95E+18,2.02E+18,2.10E+18
1.37E+18,1.45E+18,1.49E+18,1.56E+18
2.95E+18,3.07E+18,3.15E+18,3.24E+18
4.26E+17,4.45E+17,4.56E+17,4.71E+17
2.09E+18,2.20E+18,2.27E+18,2.36E+18
3.25E+18,3.43E+18,3.54E+18,3.69E+18
3.65E+17,3.84E+17,3.96E+17,4.13E+17
1.51E+18,1.60E+18,1.65E+18,1.73E+18
3.51E+18,3.71E+18,3.82E+18,3.98E+18
5.35E+18,5.65E+18,5.83E+18,6.09E+18
1.06E+18,1.11E+18,1.14E+18,1.19E+18
1.06E+19,1.11E+19,1.15E+19,1.20E+19
1.12E+19,1.18E+19,1.21E+19,1.27E+19
6.13E+18,6.47E+18,6.67E+18,6.97E+18
1.57E+19,1.65E+19,1.71E+19,1.78E+19
1.36E+19,1.43E+19,1.47E+19,1.54E+19
1.08E+19,1.13E+19,1.17E+19,1.22E+19
3.05E+19,3.20E+19,3.29E+19,3.43E+19
3.50E+19,3.68E+19,3.78E+19,3.94E+19
1.13E+19,1.19E+19,1.22E+19,1.27E+19
3.40E+18,3.57E+18,3.67E+18,3.82E+18
1.56E+19,1.64E+19,1.68E+19,1.75E+19
2.29E+19,2.40E+19,2.46E+19,2.56E+19
2.46E+18,2.58E+18,2.65E+18,2.76E+18
1.09E+19,1.14E+19,1.17E+19,1.22E+19
3.22E+18,3.38E+18,3.48E+18,3.61E+18
1.88E+19,1.96E+19,2.02E+19,2.10E+19
3.32E+19,3.48E+19,3.57E+19,3.71E+19
2.02E+19,2.11E+19,2.17E+19,2.25E+19
4.09E+19,4.27E+19,4.38E+19,4.54E+19
4.41E+19,4.59E+19,4.70E+19,4.86E+19
2.81E+19,2.92E+19,2.99E+19,3.08E+19
2.13E+19,2.21E+19,2.26E+19,2.33E+19
4.07E+18,4.22E+18,4.30E+18,4.43E+18
3.47E+18,3.60E+18,3.68E+18,3.79E+18
7.02E+18,7.28E+18,7.44E+18,7.66E+18
5.95E+18,6.17E+18,6.30E+18,6.49E+18
1.69E+19,1.75E+19,1.79E+19,1.84E+19
6.04E+18,6.26E+18,6.39E+18,6.57E+18
7.01E+18,7.26E+18,7.41E+18,7.62E+18
1.56E+19,1.61E+19,1.65E+19,1.70E+19
1.62E+18,1.67E+18,1.71E+18,1.76E+18
1.25E+19,1.29E+19,1.32E+19,1.36E+19
9.69E+18,1.00E+19,1.03E+19,1.06E+19
4.26E+18,4.41E+18,4.51E+18,4.64E+18
1.19E+18,1.23E+18,1.26E+18,1.30E+18
2.02E+18,2.09E+18,2.13E+18,2.20E+18
1.43E+18,1.49E+18,1.52E+18,1.56E+18
4.90E+18,5.09E+18,5.20E+18,5.36E+18
4.61E+18,4.79E+18,4.90E+18,5.05E+18
5.67E+18,5.88E+18,6.01E+18,6.20E+18
2.60E+18,2.70E+18,2.75E+18,2.84E+18
2.71E+18,2.82E+18,2.88E+18,2.97E+18
1.49E+18,1.55E+18,1.58E+18,1.63E+18
1.82E+18,1.89E+18,1.93E+18,1.99E+18
3.69E+18,3.83E+18,3.91E+18,4.03E+18
9.80E+18,1.02E+19,1.04E+19,1.07E+19
9.39E+18,9.72E+18,9.91E+18,1.02E+19
1.95E+18,2.02E+18,2.06E+18,2.11E+18
5.88E+18,6.07E+18,6.18E+18,6.35E+18
6.27E+18,6.48E+18,6.60E+18,6.77E+18
1.13E+18,1.17E+18,1.19E+18,1.22E+18
1.89E+18,1.95E+18,1.98E+18,2.03E+18
6.41E+17,6.63E+17,6.74E+17,6.92E+17
1.86E+17,1.93E+17,1.96E+17,2.01E+17
6.06E+16,6.25E+16,6.36E+16,6.52E+16
4.55E+15,4.70E+15,4.83E+15,4.90E+15
1.71E+15,1.74E+15,1.79E+15,1.82E+15
1.41E+15,1.43E+15,1.47E+15,1.49E+15
7.89E+14,7.89E+14,8.04E+14,8.09E+14
2.93E+14,2.96E+14,2.87E+14,2.82E+14
