BoL,BoC,EoC,EoL
2.07E+15,2.13E+15,2.19E+15,2.21E+15
2.39E+15,2.47E+15,2.48E+15,2.47E+15
1.77E+15,1.83E+15,1.86E+15,1.91E+15
1.09E+15,1.11E+15,1.11E+15,1.14E+15
4.56E+14,4.62E+14,4.67E+14,4.68E+14
5.31E+13,5.75E+13,5.91E+13,6.28E+13
7.60E+14,7.76E+14,8.08E+14,8.25E+14
1.13E+15,1.15E+15,1.17E+15,1.18E+15
7.56E+15,7.63E+15,7.75E+15,7.82E+15
6.53E+15,6.60E+15,6.69E+15,6.70E+15
6.73E+15,6.90E+15,6.94E+15,6.87E+15
2.98E+15,2.97E+15,2.96E+15,2.93E+15
1.13E+15,1.14E+15,1.15E+15,1.14E+15
3.06E+15,2.91E+15,2.81E+15,2.62E+15
9.44E+14,8.94E+14,8.33E+14,7.93E+14
2.08E+15,2.12E+15,2.17E+15,2.17E+15
7.28E+14,7.59E+14,7.62E+14,7.75E+14
6.69E+14,6.84E+14,6.91E+14,7.15E+14
1.52E+14,1.57E+14,1.61E+14,1.67E+14
1.48E+13,1.51E+13,1.57E+13,1.65E+13
4.15E+13,4.35E+13,4.39E+13,4.52E+13
3.15E+14,3.15E+14,3.24E+14,3.29E+14
4.12E+14,4.15E+14,4.11E+14,4.12E+14
1.16E+15,1.16E+15,1.16E+15,1.16E+15
9.28E+14,9.30E+14,9.28E+14,9.18E+14
2.55E+15,2.54E+15,2.51E+15,2.51E+15
1.52E+15,1.44E+15,1.40E+15,1.34E+15
3.32E+15,3.13E+15,3.02E+15,2.85E+15
1.41E+15,1.34E+15,1.27E+15,1.20E+15
6.32E+15,6.41E+15,6.41E+15,6.49E+15
3.90E+15,4.10E+15,4.15E+15,4.29E+15
4.38E+15,4.52E+15,4.58E+15,4.74E+15
7.60E+15,7.81E+15,7.91E+15,8.07E+15
4.68E+15,4.85E+15,4.98E+15,5.09E+15
3.57E+15,3.73E+15,3.80E+15,3.88E+15
3.61E+15,3.73E+15,3.83E+15,3.88E+15
1.61E+15,1.64E+15,1.66E+15,1.69E+15
9.21E+15,9.34E+15,9.44E+15,9.50E+15
5.30E+15,5.40E+15,5.47E+15,5.53E+15
8.62E+15,8.73E+15,8.93E+15,9.03E+15
2.02E+15,2.12E+15,2.17E+15,2.23E+15
1.60E+16,1.62E+16,1.64E+16,1.65E+16
1.52E+16,1.53E+16,1.52E+16,1.52E+16
1.14E+16,1.15E+16,1.16E+16,1.16E+16
4.01E+15,4.11E+15,4.16E+15,4.24E+15
5.74E+15,5.90E+15,5.98E+15,6.12E+15
1.42E+16,1.42E+16,1.40E+16,1.39E+16
8.43E+15,8.52E+15,8.56E+15,8.53E+15
7.85E+14,8.23E+14,8.43E+14,8.75E+14
2.63E+15,2.70E+15,2.75E+15,2.79E+15
7.55E+15,7.66E+15,7.73E+15,7.88E+15
6.11E+16,6.21E+16,6.25E+16,6.29E+16
8.19E+16,8.30E+16,8.33E+16,8.37E+16
3.49E+16,3.58E+16,3.63E+16,3.71E+16
3.06E+16,3.07E+16,3.04E+16,3.00E+16
3.27E+15,3.24E+15,3.21E+15,3.20E+15
1.77E+15,1.87E+15,1.93E+15,2.03E+15
3.63E+15,3.77E+15,3.83E+15,3.97E+15
2.75E+16,2.83E+16,2.88E+16,2.93E+16
1.99E+16,2.06E+16,2.10E+16,2.14E+16
1.72E+15,1.82E+15,1.89E+15,1.99E+15
3.79E+16,3.91E+16,3.96E+16,4.03E+16
6.88E+16,7.06E+16,7.16E+16,7.28E+16
1.76E+17,1.82E+17,1.86E+17,1.90E+17
8.44E+16,8.65E+16,8.75E+16,8.86E+16
1.16E+18,1.22E+18,1.25E+18,1.29E+18
7.85E+17,8.34E+17,8.64E+17,9.04E+17
9.16E+16,9.74E+16,1.01E+17,1.05E+17
1.93E+18,2.08E+18,2.17E+18,2.29E+18
1.41E+18,1.52E+18,1.59E+18,1.69E+18
2.99E+18,3.21E+18,3.33E+18,3.49E+18
4.29E+17,4.61E+17,4.80E+17,5.05E+17
2.10E+18,2.28E+18,2.38E+18,2.53E+18
3.24E+18,3.52E+18,3.70E+18,3.94E+18
3.61E+17,3.92E+17,4.12E+17,4.39E+17
1.49E+18,1.63E+18,1.72E+18,1.84E+18
3.45E+18,3.77E+18,3.96E+18,4.23E+18
5.21E+18,5.70E+18,6.01E+18,6.44E+18
1.03E+18,1.12E+18,1.17E+18,1.25E+18
1.02E+19,1.12E+19,1.18E+19,1.26E+19
1.06E+19,1.17E+19,1.23E+19,1.32E+19
5.80E+18,6.39E+18,6.75E+18,7.27E+18
1.48E+19,1.63E+19,1.72E+19,1.85E+19
1.27E+19,1.40E+19,1.48E+19,1.59E+19
9.98E+18,1.10E+19,1.17E+19,1.25E+19
2.80E+19,3.09E+19,3.27E+19,3.52E+19
3.18E+19,3.52E+19,3.73E+19,4.02E+19
1.02E+19,1.13E+19,1.20E+19,1.29E+19
3.05E+18,3.38E+18,3.59E+18,3.88E+18
1.40E+19,1.55E+19,1.64E+19,1.77E+19
2.04E+19,2.26E+19,2.40E+19,2.59E+19
2.18E+18,2.42E+18,2.57E+18,2.78E+18
9.68E+18,1.07E+19,1.14E+19,1.23E+19
2.85E+18,3.16E+18,3.36E+18,3.64E+18
1.65E+19,1.84E+19,1.95E+19,2.11E+19
2.92E+19,3.24E+19,3.44E+19,3.72E+19
1.76E+19,1.96E+19,2.08E+19,2.25E+19
3.54E+19,3.93E+19,4.18E+19,4.52E+19
3.78E+19,4.20E+19,4.46E+19,4.81E+19
2.39E+19,2.65E+19,2.82E+19,3.04E+19
1.80E+19,2.00E+19,2.12E+19,2.29E+19
3.43E+18,3.80E+18,4.04E+18,4.35E+18
2.93E+18,3.25E+18,3.45E+18,3.72E+18
5.94E+18,6.58E+18,6.98E+18,7.52E+18
5.03E+18,5.57E+18,5.92E+18,6.38E+18
1.43E+19,1.58E+19,1.68E+19,1.81E+19
5.08E+18,5.63E+18,5.98E+18,6.44E+18
5.88E+18,6.52E+18,6.93E+18,7.47E+18
1.30E+19,1.45E+19,1.54E+19,1.66E+19
1.34E+18,1.49E+18,1.59E+18,1.72E+18
1.03E+19,1.15E+19,1.22E+19,1.32E+19
7.95E+18,8.88E+18,9.46E+18,1.02E+19
3.48E+18,3.89E+18,4.15E+18,4.49E+18
9.72E+17,1.09E+18,1.16E+18,1.26E+18
1.65E+18,1.84E+18,1.96E+18,2.13E+18
1.17E+18,1.31E+18,1.39E+18,1.51E+18
3.98E+18,4.45E+18,4.75E+18,5.16E+18
3.75E+18,4.19E+18,4.48E+18,4.87E+18
4.60E+18,5.16E+18,5.51E+18,5.98E+18
2.11E+18,2.36E+18,2.52E+18,2.74E+18
2.19E+18,2.46E+18,2.63E+18,2.86E+18
1.20E+18,1.35E+18,1.44E+18,1.57E+18
1.47E+18,1.65E+18,1.76E+18,1.92E+18
2.98E+18,3.34E+18,3.57E+18,3.88E+18
7.90E+18,8.86E+18,9.46E+18,1.03E+19
7.55E+18,8.46E+18,9.03E+18,9.79E+18
1.57E+18,1.76E+18,1.88E+18,2.03E+18
4.72E+18,5.28E+18,5.63E+18,6.10E+18
5.02E+18,5.62E+18,6.00E+18,6.49E+18
9.03E+17,1.01E+18,1.08E+18,1.17E+18
1.50E+18,1.69E+18,1.80E+18,1.95E+18
5.11E+17,5.73E+17,6.11E+17,6.62E+17
1.48E+17,1.66E+17,1.78E+17,1.92E+17
4.83E+16,5.39E+16,5.74E+16,6.23E+16
3.63E+15,4.05E+15,4.35E+15,4.68E+15
1.37E+15,1.52E+15,1.65E+15,1.78E+15
1.10E+15,1.26E+15,1.34E+15,1.45E+15
6.09E+14,7.01E+14,7.24E+14,8.08E+14
2.24E+14,2.59E+14,2.82E+14,3.02E+14
